Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-06-08,TR,OOL,BEAR,DOJI,WBR,TR,-0.235,,,257.0,258.6,252.7,254.8
2015-06-09,TR,OIM,BULL,DOJI,SWR,TR,0.175,,,254.9,258.3,254.0,258.0
2015-06-10,BULL,OAR,BULL,HUGE OPEN,SAR,TR,-0.515,,,258.6,262.5,258.6,260.65
2015-06-11,TR,OOH,BEAR,DOJI,SWR,BEAR,-2.83,,,262.25,262.95,252.65,254.05
2015-06-12,BEAR,OOL,TR,NORMAL,SWR,TR,0.158,,,254.05,255.4,251.8,254.55
2015-06-15,TR,OOH,TR,NORMAL,SWR,BEAR,-1.378,,,254.35,255.6,249.0,249.7
2015-06-16,BEAR,OOL,BULL,NORMAL,SWR,BULL,1.599,,,250.25,255.75,249.0,255.45
2015-06-17,BULL,OAR,BEAR,DOJI,SWR,TR,-0.118,,,256.25,256.8,253.7,255.3
2015-06-18,TR,OOH,BULL,NORMAL,WAR,BULL,0.799,,,256.3,260.65,255.2,258.15
2015-06-19,TR,OOH,BEAR,DOJI,SWR,BULL,0.774,,,259.9,263.0,258.15,260.25
2015-06-22,TR,OIM,BULL,NORMAL,WAR,BULL,1.39,,,261.0,267.4,260.95,266.2
2015-06-23,BULL,OAR,BULL,NORMAL,SAR,BEAR,-0.63,,,269.2,271.15,266.3,267.2
2015-06-24,TR,OOL,BEAR,NORMAL,WBR,BEAR,-0.941,,,267.7,267.7,260.6,261.2
2015-06-25,BEAR,OOL,TR,DOJI,WBR,BULL,1.788,,,261.25,266.0,259.05,265.0
2015-06-26,BULL,OOH,BEAR,DOJI,SWR,BULL,1.298,,,264.05,266.8,261.05,265.4
2015-06-29,TR,OBR,BEAR,NORMAL,SBR,BULL,1.15,,,258.2,260.8,255.0,260.3
2015-06-30,TR,OOH,TR,DOJI,SWR,BULL,1.76,,,259.65,263.35,257.7,263.0
2015-07-01,BULL,OOH,TR,DOJI,WAR,BULL,1.65,,,263.1,269.5,262.6,267.75
2015-07-02,BULL,OOH,TR,DOJI,SWR,TR,-0.167,,,267.9,271.15,266.5,268.1
2015-07-03,TR,OOL,BULL,NORMAL,SWR,TR,0.056,,,267.35,270.0,266.8,269.45
2015-07-06,BULL,OBR,TR,,SBR,TR,0.0,,,0.0,0.0,0.0,0.0
2015-07-07,TR,,TR,,,TR,0.0,,,0.0,0.0,0.0,0.0
2015-07-08,TR,,TR,,,TR,0.0,,,0.0,0.0,0.0,0.0
2015-07-09,TR,,BULL,,,TR,-0.391,,,267.5,271.25,267.0,268.15
2015-07-10,TR,OOH,TR,DOJI,SWR,TR,0.259,,,270.15,271.0,266.65,270.5
2015-07-13,TR,OAR,BEAR,NORMAL,SWR,BULL,1.502,,,272.0,274.25,267.9,273.5
2015-07-14,TR,OOH,BEAR,NORMAL,SWR,BEAR,-1.214,,,273.5,273.5,267.25,268.0
2015-07-15,BEAR,OOL,BULL,NORMAL,SWR,BEAR,-0.795,,,268.75,271.7,267.2,268.6
2015-07-16,TR,OIM,TR,NORMAL,SWR,BULL,0.984,,,269.3,272.7,268.1,272.4
2015-07-17,BULL,OOH,BEAR,NORMAL,WAR,BEAR,-0.624,,,272.4,274.0,270.55,271.65
2015-07-20,TR,OOL,BEAR,NORMAL,WBR,BEAR,-0.797,,,271.1,272.0,266.2,267.1
2015-07-21,BEAR,OOL,TR,DOJI,SWR,BEAR,-1.344,,,267.4,269.8,263.5,264.85
2015-07-22,TR,OOL,TR,DOJI,WBR,BULL,1.957,,,263.55,269.4,262.05,268.75
2015-07-23,BULL,OOH,BEAR,NORMAL,WAR,TR,0.335,,,268.85,271.95,267.3,270.4
2015-07-24,TR,OIM,BEAR,HUGE OPEN,WBR,BEAR,-1.553,,,269.0,270.3,262.1,263.65
