Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2023-05-29,BEAR,OAR,BEAR,NORMAL,SWR,TR,0.174
2023-05-30,BEAR,OIM,BEAR,NORMAL,SWR,TR,-0.19
2023-05-31,BEAR,OBR,BEAR,NORMAL,SBR,TR,-0.235
2023-06-01,BULL,OIM,TR,DOJI,SWR,TR,0.075
2023-06-02,TR,OOH,TR,DOJI,SWR,TR,-0.342
2023-06-05,TR,OIM,TR,NORMAL,SWR,TR,-0.592
2023-06-06,TR,OIM,TR,NORMAL,SWR,TR,-0.267
2023-06-07,TR,OOH,TR,DOJI,SWR,BULL,0.619
2023-06-08,TR,OIM,TR,NORMAL,WAR,TR,-0.108
2023-06-09,TR,OIM,TR,NORMAL,SWR,TR,-0.504
2023-06-12,BEAR,OBR,BEAR,NORMAL,SBR,TR,0.319
2023-06-13,BULL,OIM,TR,NORMAL,SWR,TR,-0.225
2023-06-14,TR,OOH,TR,HUGE OPEN,WAR,TR,-0.392
2023-06-15,TR,OOL,BEAR,DOJI,SWR,TR,0.067
2023-06-16,TR,OOL,TR,NORMAL,SWR,BULL,1.01
2023-06-19,BULL,OOH,BULL,NORMAL,WAR,BULL,1.469
2023-06-20,BULL,OOH,BULL,NORMAL,WAR,BULL,0.8
2023-06-21,BULL,OAR,BULL,NORMAL,SAR,TR,-0.078
2023-06-22,BULL,OOH,TR,DOJI,WAR,BEAR,-1.108
2023-06-23,BEAR,OIM,TR,DOJI,WBR,BEAR,-0.785
2023-06-26,TR,OOL,BEAR,NORMAL,WBR,BEAR,-0.721
2023-06-27,BEAR,OOL,BEAR,NORMAL,SWR,TR,-0.146
2023-06-28,TR,OOH,TR,NORMAL,SWR,TR,0.056
2023-06-30,BEAR,OOH,TR,DOJI,WAR,BULL,1.867
2023-07-03,BEAR,OAR,BULL,NORMAL,SWR,TR,-0.395
2023-07-04,BEAR,OOL,BEAR,NORMAL,WBR,TR,-0.04
2023-07-05,TR,OOL,BEAR,NORMAL,SWR,TR,-0.064
2023-07-06,BULL,OOL,TR,DOJI,WAR,TR,-0.333
2023-07-07,TR,OIM,TR,DOJI,SWR,BEAR,-0.827
2023-07-10,TR,OOL,TR,NORMAL,WBR,TR,0.113
2023-07-11,TR,OOH,BEAR,HUGE OPEN,WAR,TR,-0.599
