Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-08-31,BEAR,Bull Leg,OIM,HUGE OPEN,WBR,TR,,,338.95,348.7,332.55,340.4
2015-09-01,BULL,Bear Leg,OOL,NORMAL,SWR,TR,,,334.15,339.35,325.5,328.0
2015-09-02,BEAR,Bear Leg,OOL,DOJI,SWR,TR,,,328.8,332.4,321.45,324.0
2015-09-03,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,,327.35,339.75,327.05,331.7
2015-09-04,BEAR,TR,OOL,NORMAL,WBR,TR,,,330.0,330.8,316.0,323.8
2015-09-07,BEAR,Bear Leg,OOH,NORMAL,WAR,TR,,,327.8,332.95,320.0,324.0
2015-09-08,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,326.4,333.25,316.5,331.2
2015-09-09,TR,Bull Leg,OAR,DOJI,SAR,TR,,,336.2,350.7,333.6,345.0
2015-09-10,TR,Bull Leg,OOL,DOJI,SWR,BULL,,,338.0,356.4,331.1,355.0
2015-09-11,BEAR,Bear Leg,OOH,NORMAL,WAR,BULL,,,354.9,358.9,342.45,344.0
2015-09-14,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,,347.95,350.9,342.5,346.0
2015-09-15,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,345.95,345.95,333.05,334.35
2015-09-16,BEAR,TR,OIM,DOJI,SWR,BEAR,,,337.6,340.4,332.5,337.3
2015-09-18,TR,TR,OBR,DOJI,SBR,TR,,,329.8,333.75,326.85,332.25
2015-09-21,BULL,TR,OOL,DOJI,SWR,TR,,,326.85,334.9,325.8,331.5
2015-09-22,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,332.0,333.6,314.05,315.0
2015-09-23,TR,TR,OBR,NORMAL,SBR,BEAR,,,311.55,312.55,306.3,310.4
2015-09-24,TR,Bear Leg,OIM,NORMAL,SWR,TR,,,309.45,312.0,301.8,302.75
2015-09-28,BEAR,Bear Leg,OOL,NORMAL,WBR,BEAR,,,303.75,303.9,283.65,284.65
2015-09-29,BULL,Bull Leg,OBR,DOJI,SWR,BEAR,,,281.2,294.7,279.2,288.1
2015-09-30,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,,289.65,299.7,288.4,298.0
2015-10-01,BEAR,Bull Leg,OAR,NORMAL,SWR,BULL,,,301.0,301.0,291.5,296.1
2015-10-05,BULL,TR,OAR,HUGE OPEN,SAR,TR,,,303.0,321.95,303.0,315.4
2015-10-06,BULL,Bull Leg,OOH,NORMAL,WAR,BULL,,,320.55,334.7,320.4,333.25
2015-10-07,BULL,Bull Leg,OOH,NORMAL,WAR,BULL,,,333.5,345.0,329.0,342.15
2015-10-08,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,,343.0,347.3,341.85,343.7
