Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2015-11-20,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.637
2015-11-23,TR,WithinPrevRange,TR,Bull,WideRange,TR,0.0
2015-11-24,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.547
2015-11-26,TR,WithinPrevRange,BEAR,Bull,WideRange,BULL,3.26
2015-11-27,BULL,WithinPrevRange,TR,Doji,WideRange,BEAR,-0.667
2015-11-30,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.0
2015-12-01,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.032
2015-12-02,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,1.217
2015-12-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.279
2015-12-04,BEAR,GapDown<PrevLow,TR,Bull,WideRange,BEAR,-1.737
2015-12-07,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.314
2015-12-08,TR,GapDown<PrevLow,BULL,Bull,WideRange,BEAR,-3.79
2015-12-09,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.314
2015-12-10,TR,WithinPrevRange,TR,Bull,Normal,TR,-0.198
2015-12-11,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-4.021
2015-12-14,BEAR,WithinPrevRange,BULL,Bear,WideRange,BULL,2.738
2015-12-15,BULL,GapUp>PrevHigh,BEAR,Bull,WideRange,TR,-0.191
2015-12-16,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.512
2015-12-17,TR,WithinPrevRange,TR,Bull,WideRange,BULL,1.721
2015-12-18,BULL,WithinPrevRange,TR,Bull,WideRange,BULL,0.628
2015-12-21,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.053
2015-12-22,TR,WithinPrevRange,BEAR,Bull,WideRange,TR,0.185
2015-12-23,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.121
2015-12-24,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.678
2015-12-28,BULL,WithinPrevRange,BEAR,Bear,WideRange,TR,0.419
2015-12-29,TR,WithinPrevRange,TR,Bull,Normal,TR,0.06
2015-12-30,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.358
2015-12-31,TR,WithinPrevRange,TR,Bear,WideRange,TR,0.3
2016-01-04,TR,GapUp>PrevHigh,BULL,Bull,WideRange,BEAR,-5.322
2016-01-05,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,3.198
2016-01-06,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.862
2016-01-07,BEAR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-3.657
2016-01-08,BEAR,WithinPrevRange,TR,Bull,WideRange,TR,0.55
2016-01-11,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.509
2016-01-12,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.234
2016-01-13,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.578
2016-01-14,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.331
2016-01-15,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-5.587
2016-01-18,BEAR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-2.441
2016-01-19,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.26
2016-01-20,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.422
2016-01-21,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.079
2016-01-22,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,3.134
2016-01-25,BULL,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.004
2016-01-27,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.148
2016-01-28,BEAR,WithinPrevRange,TR,Doji,WideRange,BEAR,-1.77
2016-01-29,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BULL,1.671
2016-02-01,TR,GapUp>PrevHigh,BULL,Bull,WideRange,BEAR,-1.127
