Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2015-11-27,BULL,OOH,BULL,NORMAL,WAR,BEAR,-2.48
2015-11-30,BULL,OOL,BEAR,NORMAL,SWR,BEAR,-0.786
2015-12-01,BEAR,OOH,TR,DOJI,SWR,BEAR,-1.113
2015-12-02,TR,OBR,BEAR,NORMAL,SWR,BEAR,-0.837
2015-12-03,TR,OBR,BEAR,DOJI,SBR,BEAR,-0.915
2015-12-04,BULL,OBR,TR,NORMAL,SWR,BEAR,-1.248
2015-12-07,TR,OIM,TR,DOJI,SWR,TR,-0.175
2015-12-08,BULL,OOL,BEAR,HUGE OPEN,WAR,BEAR,-0.641
2015-12-09,BEAR,OIM,TR,NORMAL,SWR,BEAR,-1.92
2015-12-10,BEAR,OIM,BEAR,HUGE OPEN,WBR,TR,-0.038
2015-12-11,TR,OIM,BEAR,DOJI,SWR,BEAR,-3.675
2015-12-14,BEAR,OBR,BEAR,NORMAL,SBR,BULL,2.317
2015-12-15,BEAR,OOH,TR,NORMAL,SWR,BULL,2.835
2015-12-16,BULL,OIM,BULL,DOJI,SWR,BULL,0.689
2015-12-17,BEAR,OAR,TR,NORMAL,SWR,TR,0.0
2015-12-18,TR,OIM,TR,NORMAL,SWR,BEAR,-1.59
2015-12-21,TR,OOL,TR,NORMAL,SWR,TR,0.277
2015-12-22,BEAR,OIM,TR,NORMAL,WAR,TR,-0.578
2015-12-23,TR,OIM,BEAR,DOJI,SWR,TR,-0.355
2015-12-24,BULL,OIM,TR,DOJI,SWR,TR,0.394
2015-12-28,BULL,OOH,TR,NORMAL,WAR,BULL,1.004
2015-12-29,TR,OOH,BULL,NORMAL,WAR,BEAR,-0.798
2015-12-30,BEAR,OIM,TR,DOJI,SWR,TR,-0.114
2015-12-31,TR,OOH,TR,DOJI,WAR,BEAR,-0.673
2016-01-04,TR,OAR,TR,NORMAL,SAR,BEAR,-4.907
2016-01-05,BEAR,OOL,BEAR,DOJI,SWR,BEAR,-1.028
2016-01-06,BEAR,OOL,BEAR,DOJI,WBR,BEAR,-1.667
2016-01-07,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-1.439
2016-01-08,BULL,OIM,BEAR,NORMAL,SWR,BULL,1.144
2016-01-11,BULL,OBR,BULL,NORMAL,SWR,BULL,3.344
2016-01-12,BEAR,OOH,BULL,NORMAL,SWR,BEAR,-1.934
2016-01-13,BULL,OOH,BEAR,NORMAL,SWR,BULL,0.772
2016-01-14,BEAR,OOL,TR,NORMAL,WBR,BULL,1.112
2016-01-15,BEAR,OIM,TR,NORMAL,SWR,BEAR,-2.946
2016-01-18,BEAR,OOL,BEAR,NORMAL,WBR,BULL,0.622
2016-01-19,BULL,OAR,TR,NORMAL,SAR,BULL,1.768
2016-01-20,BEAR,OIM,BULL,NORMAL,SWR,BEAR,-1.34
2016-01-21,TR,OOL,BEAR,NORMAL,WBR,BEAR,-3.157
2016-01-22,TR,OIM,BEAR,DOJI,SWR,BULL,1.54
2016-01-25,TR,OOH,TR,NORMAL,SWR,BEAR,-3.105
2016-01-27,BEAR,OIM,BEAR,DOJI,SWR,BULL,0.853
2016-01-28,BULL,OIM,TR,NORMAL,WAR,BEAR,-1.213
2016-01-29,TR,OBR,TR,NORMAL,SWR,BULL,1.444
2016-02-01,BEAR,OOH,TR,NORMAL,SWR,BULL,0.846
2016-02-02,BEAR,OAR,TR,NORMAL,SWR,BEAR,-2.671
2016-02-03,TR,OBR,BEAR,NORMAL,SBR,BEAR,-0.635
2016-02-04,BEAR,OOH,TR,NORMAL,SWR,TR,0.247
2016-02-05,BULL,OAR,TR,NORMAL,SWR,BULL,1.614
2016-02-08,BEAR,OIM,BULL,NORMAL,SWR,BEAR,-2.273
2016-02-09,BULL,OBR,BEAR,DOJI,SWR,BEAR,-3.341
2016-02-10,BEAR,OOL,BEAR,HUGE OPEN,WBR,BEAR,-2.362
2016-02-11,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-5.776
2016-02-12,TR,OIM,BEAR,DOJI,SWR,BULL,6.211
