Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow
2015-09-23,TR,TR,OBR,NORMAL,SBR,BEAR,,
2015-09-24,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-09-28,BEAR,Bear Leg,OOL,NORMAL,WBR,BEAR,,
2015-09-29,BULL,Bull Leg,OBR,DOJI,SWR,BEAR,,
2015-09-30,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-10-01,BEAR,Bull Leg,OAR,NORMAL,SWR,BULL,,
2015-10-05,BULL,TR,OAR,HUGE OPEN,SAR,TR,,
2015-10-06,BULL,Bull Leg,OOH,NORMAL,WAR,BULL,,
2015-10-07,BULL,Bull Leg,OOH,NORMAL,WAR,BULL,,
2015-10-08,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2015-10-09,BEAR,Bull Leg,OOH,HUGE OPEN,WBR,TR,,
2015-10-12,BULL,TR,OOH,NORMAL,WAR,BULL,,
2015-10-13,BEAR,Bull Leg,OOL,NORMAL,WBR,BULL,,
2015-10-14,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,
2015-10-15,BULL,Bull Leg,OIM,HUGE OPEN,WAR,BEAR,,
2015-10-16,BEAR,TR,OAR,NORMAL,SAR,BULL,,
2015-10-19,TR,TR,OOL,NORMAL,WBR,TR,,
2015-10-20,BULL,TR,OIM,DOJI,WAR,BEAR,,
2015-10-21,TR,TR,OOL,DOJI,SWR,TR,,
2015-10-23,TR,Bear Leg,OIM,NORMAL,WAR,TR,,
2015-10-26,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-10-27,TR,TR,OBR,NORMAL,SWR,TR,,
2015-10-28,BULL,TR,OOL,NORMAL,SWR,TR,,
2015-10-29,TR,Bull Leg,OOH,NORMAL,SWR,TR,,
2015-10-30,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-11-02,BULL,TR,OIM,HUGE OPEN,SWR,BEAR,,
2015-11-03,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,
2015-11-04,BULL,TR,OOH,HUGE OPEN,WAR,BEAR,,
2015-11-05,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2015-11-06,BEAR,TR,OBR,NORMAL,SBR,TR,,
2015-11-09,BULL,Bull Leg,OBR,HUGE OPEN,SWR,TR,,
2015-11-10,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2015-11-11,,,OIM,NORMAL,SWR,TR,,
2015-11-13,BEAR,Bear Leg,OOL,DOJI,WAR,TR,,
2015-11-16,BEAR,TR,OBR,DOJI,SWR,TR,,
2015-11-17,TR,Bull Leg,OOH,NORMAL,SWR,TR,,
2015-11-18,TR,Bear Leg,OOH,NORMAL,WAR,TR,,
2015-11-19,BEAR,TR,OIM,DOJI,SWR,TR,,
2015-11-20,TR,Bear Leg,OOH,NORMAL,SWR,TR,,
2015-11-23,BULL,TR,OBR,NORMAL,SBR,TR,,
2015-11-24,TR,TR,OIM,NORMAL,SWR,TR,,
2015-11-26,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2015-11-27,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2015-11-30,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2015-12-01,BEAR,Bear Leg,OOH,DOJI,SWR,TR,,
2015-12-02,TR,Bear Leg,OBR,NORMAL,SWR,BEAR,,
2015-12-03,TR,Bear Leg,OBR,DOJI,SBR,BEAR,,
2015-12-04,BULL,Bear Leg,OBR,NORMAL,SWR,TR,,
2015-12-07,TR,TR,OIM,DOJI,SWR,TR,,
2015-12-08,BULL,Bear Leg,OOL,HUGE OPEN,WAR,BEAR,,
2015-12-09,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-12-10,BEAR,TR,OIM,HUGE OPEN,WBR,BEAR,,
2015-12-11,TR,Bear Leg,OIM,DOJI,SWR,BEAR,,
2015-12-14,BEAR,Bull Leg,OBR,NORMAL,SBR,BEAR,,
2015-12-15,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2015-12-16,BULL,Bull Leg,OIM,DOJI,SWR,BULL,,
2015-12-17,BEAR,TR,OAR,NORMAL,SWR,TR,,
2015-12-18,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-12-21,TR,TR,OOL,NORMAL,SWR,TR,,
2015-12-22,BEAR,TR,OIM,NORMAL,WAR,TR,,
2015-12-23,TR,TR,OIM,DOJI,SWR,BEAR,,
2015-12-24,BULL,TR,OIM,DOJI,SWR,TR,,
2015-12-28,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,
2015-12-29,TR,Bear Leg,OOH,NORMAL,WAR,BULL,,
2015-12-30,BEAR,TR,OIM,DOJI,SWR,TR,,
2015-12-31,TR,Bear Leg,OOH,DOJI,WAR,TR,,
2016-01-04,TR,Bear Leg,OAR,NORMAL,SAR,TR,,
2016-01-05,BEAR,Bear Leg,OOL,DOJI,SWR,BEAR,,
2016-01-06,BEAR,Bear Leg,OOL,DOJI,WBR,BEAR,,
2016-01-07,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2016-01-08,BULL,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2016-01-11,BULL,Bull Leg,OBR,NORMAL,SWR,BULL,,
2016-01-12,BEAR,Bear Leg,OOH,NORMAL,SWR,BULL,,
2016-01-13,BULL,Bull Leg,OOH,NORMAL,SWR,BEAR,,
2016-01-14,BEAR,Bull Leg,OOL,NORMAL,WBR,TR,,
2016-01-15,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-01-18,BEAR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2016-01-19,BULL,Bull Leg,OAR,NORMAL,SAR,TR,,
2016-01-20,BEAR,Bear Leg,OIM,NORMAL,SWR,BULL,,
2016-01-21,TR,Bear Leg,OOL,NORMAL,WBR,BEAR,,
2016-01-22,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,
2016-01-25,TR,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-01-27,BEAR,Bull Leg,OIM,DOJI,SWR,BEAR,,
2016-01-28,BULL,Bear Leg,OIM,NORMAL,WAR,TR,,
2016-01-29,TR,Bull Leg,OBR,NORMAL,SWR,TR,,
2016-02-01,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2016-02-02,BEAR,Bear Leg,OAR,NORMAL,SWR,TR,,
2016-02-03,TR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2016-02-04,BEAR,TR,OOH,NORMAL,SWR,TR,,
2016-02-05,BULL,Bull Leg,OAR,NORMAL,SWR,TR,,
2016-02-08,BEAR,Bear Leg,OIM,NORMAL,SWR,BULL,,
2016-02-09,BULL,Bear Leg,OBR,DOJI,SWR,BEAR,,
2016-02-10,BEAR,Bear Leg,OOL,HUGE OPEN,WBR,BEAR,,
2016-02-11,BEAR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2016-02-12,TR,Bull Leg,OIM,DOJI,SWR,BEAR,,
2016-02-15,TR,Bull Leg,OOH,NORMAL,WAR,BULL,,
2016-02-16,BEAR,Bear Leg,OOH,DOJI,WAR,BULL,,
2016-02-17,BEAR,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2016-02-18,BEAR,TR,OAR,NORMAL,SAR,BULL,,
2016-02-19,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-02-22,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2016-02-23,BEAR,TR,OOH,NORMAL,SWR,TR,,
2016-02-24,BEAR,Bear Leg,OOL,NORMAL,WBR,BEAR,,
2016-02-25,BEAR,Bear Leg,OIM,NORMAL,SWR,BEAR,,
2016-02-26,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2016-02-29,BULL,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-03-01,BULL,Bull Leg,OOH,DOJI,WAR,TR,,
2016-03-02,BEAR,Bear Leg,OAR,NORMAL,SAR,BULL,,
2016-03-03,BULL,Bull Leg,OOH,DOJI,WAR,BEAR,,
2016-03-04,BULL,TR,OAR,NORMAL,SWR,BULL,,
2016-03-08,BULL,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-03-09,BULL,Bull Leg,OBR,DOJI,SBR,TR,,
2016-03-10,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2016-03-11,BULL,Bull Leg,OIM,DOJI,SWR,TR,,
2016-03-14,BULL,Bear Leg,OAR,HUGE OPEN,SAR,BULL,,
2016-03-15,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-03-16,BEAR,TR,OOL,NORMAL,WBR,BEAR,,
2016-03-17,BULL,Bear Leg,OAR,NORMAL,SAR,TR,,
2016-03-18,BEAR,TR,OIM,NORMAL,SWR,BEAR,,
2016-03-21,BEAR,Bull Leg,OOH,NORMAL,WAR,TR,,
2016-03-22,BEAR,Bull Leg,OAR,NORMAL,SWR,BULL,,
2016-03-23,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,
2016-03-28,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
